state,city,address,zip,phone,latitude,longitude
California,Mountain View,1000 N Rengstorff Ave,94043-1716,(650) 988-1841,37.421,-122.095
California,Murrieta,35875 Warm Springs Parkway,92563,(951) 223-4839,33.6,-117.171
California,Fresno,7100 N Abby St,93720-2920,(559) 437-3643,36.839,-119.788
California,San Jose,1709 Automation Pkwy,95131-1866,(408) 678-2150,37.39,-121.884
California,Napa,280 Riversound Way,94558-6357,(707) 819-5900,38.252,-122.279
California,Sacramento,3881 E Commerce Way,95834,(916) 265-9594,38.64,-121.522
California,Newark,350 Newpark Mall,94560,(510) 493-2945,37.526,-121.999
California,Northridge,8810 Tampa Ave,91324-3519,(818) 775-1860,34.23,-118.551
California,Norwalk,12324 Hoxie Ave,90650-2211,(562) 929-0826,33.92,-118.103
California,Novato,300 Vintage Way,94945-5007,(415) 899-1332,38.087,-122.551
California,Ontario,3680 E Guasti Rd,91761,(909) 789-1221,34.064,-117.573
California,Oxnard,2001 E Ventura Blvd,93036-1813,(805) 983-4200,34.225,-119.148
California,Pacoima,13550 Paxton St,91331-2352,(818) 272-2700,34.272,-118.426
California,Palm Desert,72800 Dinah Shore Dr,92211-0814,(760) 770-2810,33.804,-116.39
California,Pleasanton,7200 Johnson Drive,94588,(925) 475-4000,37.695,-121.917
California,Poway,12155 Tech Center Dr,92064-7156,(858) 848-2451,32.937,-117.033
California,Rancho Cordova,11260 White Rock Rd,95742-6571,(916) 724-2240,38.588,-121.264
California,Rancho Cucamonga,11800 4Th St,91730-6129,(909) 581-1703,34.078,-117.547
California,Chula Vista,895 E H St,91910-7807,(619) 656-0826,32.638,-117.023
California,Redding,4805 Bechelli Lane,96002,(530) 222-0199,40.541,-122.356
California,Redwood City,2300 Middlefield Rd,94063-2854,(650) 568-4040,37.479,-122.216
California,Richmond,4801 Central Avenue,94804-5801,(510) 898-2003,37.898,-122.321
California,Riverbank,2015 Claribel Road,95367,(209) 458-5587,37.711,-120.969
California,Rohnert Park,5901 Redwood Dr,94928-2076,(707) 540-9113,38.353,-122.717
California,Roseville,6750 Stanford Ranch Rd,95678-1907,(916) 789-1485,38.78,-121.267
California,South San Francisco,451 S Airport Blvd,94080-6909,(650) 872-2021,37.642,-122.401
California,South San Francisco,900 Dubuque Ave,94080-1805,(650) 784-4047,37.661,-122.401
California,San Diego,650 Gateway Center Dr,92102-4530,(619) 358-2303,32.713,-117.116
California,Bakersfield,4900 Panama Ln,93313-3479,(661) 398-4740,35.297,-119.058
California,Sacramento,7981 E Stockton Blvd,95823-9606,(916) 682-3569,38.468,-121.414
California,Sacramento,3360 El Camino Ave,95821-6308,(916) 426-4560,38.608,-121.386
California,Salinas,1339 N Davis Rd,93907-1988,(831) 424-4242,36.704,-121.668
California,San Bernardino,1099 E Hospitality Ln,92408-2813,(909) 478-3445,34.068,-117.263
California,San Diego,7803 Othello Ave,92111-3709,(858) 810-5835,32.816,-117.153
California,San Dimas,520 N Lone Hill Ave,91773-1725,(909) 962-5507,34.112,-117.827
California,San Francisco,450 10Th St,94103-4304,(415) 626-4388,37.771,-122.411
California,San Jose,2201 Senter Rd,95112-2627,(408) 275-0199,37.31,-121.851
California,San Jose,2376 S Evergreen Loop,95122,(669) 236-4679,37.318,-121.811
California,San Juan Capistrano,33961 Doheny Park Rd,92675-4835,(949) 240-3558,33.47,-117.678
California,San Leandro,1900 Davis St,94577-1209,(510) 562-6708,37.72,-122.182
California,San Luis Obispo,1540 Froom Ranch Way,93405-7211,(805) 541-7000,35.252,-120.691
California,San Marcos,725 Center Drive,92069-3536,(760) 871-6867,33.135,-117.125
California,San Marcos,150 S. Bent Ave,92078,(760) 410-5681,33.137,-117.184
California,Sand City,801 Tioga Ave,93955-3050,(831) 899-1255,36.617,-121.845
California,Santa Clara,1601 Coleman Ave,95050-3122,(408) 567-9000,37.357,-121.939
California,Santa Clarita,18649 Via Princessa,91387-4935,(661) 250-2818,34.404,-118.461
California,Santa Cruz,220 Sylvania Ave,95060-2161,(831) 469-0961,36.985,-122.033
California,Santa Maria,1700 S. Bradley Rd.,93454-8001,(805) 928-8459,34.927,-120.419
California,Santa Rosa,1900 Santa Rosa Ave,95407-7621,(707) 578-3775,38.42,-122.712
California,Santee,101 Town Center Pkwy,92071-5802,(619) 562-3227,32.841,-116.988
California,Signal Hill,2200 E Willow St,90755-2132,(562) 427-2537,33.803,-118.165
California,Simi Valley,2660 Park Center Dr,93065-6207,(805) 578-3301,34.284,-118.796
California,Stockton,1616 E Hammer Ln,95210-4119,(209) 478-2040,38.019,-121.292
California,Sunnyvale,150 Lawrence Station Rd,94086-5309,(408) 730-1892,37.372,-121.995
California,Temecula,26610 Ynez Rd,92591-4697,(951) 719-2000,33.521,-117.155
California,Torrance,2640 Lomita Blvd,90505-5214,(310) 891-1020,33.807,-118.334
California,Tracy,3250 W Grant Line Rd,95304-8427,(209) 830-5340,37.751,-121.475
California,Turlock,2955 N Tegner Rd,95380-9401,(209) 656-5301,37.519,-120.888
California,Tustin,2700 Park Ave,92782-2708,(714) 338-1933,33.699,-117.823
California,Tustin,2655 El Camino Real,92782-8918,(714) 838-7895,33.728,-117.796
California,Ukiah,1275 Airport Park Blvd,95482-7400,(707) 313-8004,39.127,-123.197
California,Vacaville,1051 Hume Way,95687-5558,(707) 453-7343,38.351,-121.98
California,Vallejo,198 Plaza Dr,94591-3702,(707) 553-6400,38.133,-122.214
California,Van Nuys,6100 Sepulveda Blvd,91411-2503,(818) 989-5132,34.182,-118.464
California,Victorville,14555 Valley Center Dr,92395-4216,(760) 524-9904,34.515,-117.318
California,Visalia,1405 W Cameron Ave,93277-9527,(559) 735-2400,36.293,-119.307
California,Vista,1755 Hacienda Dr,92081-4546,(760) 631-7255,33.188,-117.277
California,Westlake Village,5700 Lindero Canyon Rd,91362-4063,(818) 597-3901,34.152,-118.797
California,Westminster,13225 Beach Blvd,92683-9210,(657) 400-7006,33.769,-117.993
California,Woodland,2299 Bronze Star Dr,95776-5409,(530) 406-2120,38.672,-121.723
California,Woodland Hills,21800 Victory Blvd,91367-2227,(818) 884-9099,34.186,-118.603
California,Yorba Linda,22633 Savi Ranch Pkwy,92887-4647,(714) 282-6650,33.875,-117.744
Colorado,Arvada,5195 Wadsworth Blvd,80002-4617,(303) 463-3603,39.789,-105.083
Colorado,Aurora,1471 S Havana St,80012-4013,(303) 750-2116,39.69,-104.868
Colorado,Denver,400 S Zuni St,80223-1969,(303) 830-4529,39.709,-105.014
Colorado,Littleton,8686 Park Meadows Center Dr,80124-5129,(303) 708-0012,39.558,-104.877
Colorado,Colorado Springs,5885 Barnes Rd,80922-3512,(719) 591-3002,38.892,-104.717
Colorado,Gypsum,170 Cooley Mesa Rd,81637-9707,(970) 328-7603,39.645,-106.891
Colorado,Longmont,205 East Ken Pratt Blvd,80501,(303) 827-2534,40.152,-105.085
Colorado,Denver,4741 N Airport Way,80239,(303) 957-3500,39.781,-104.796
Colorado,Parker,18414 Cottonwood Dr,80138-8876,(303) 583-1939,39.556,-104.775
Colorado,Littleton,7900 W Quincy Ave,80123-1350,(303) 933-4931,39.637,-105.086
Colorado,Sheridan,4000 River Point Pkwy,80110-3316,(303) 200-1830,39.644,-105.007
Colorado,Superior,600 Marshall Rd,80027-9730,(720) 587-1000,39.959,-105.174
Colorado,Thornton,16375 N. Washington St,80023-8907,(303) 474-3247,39.991,-104.983
Colorado,Timnath,4705 Weitzel St,80547-4703,(970) 416-6115,40.521,-104.99
Colorado,Colorado Springs,5050 N Nevada Ave,80918-8602,(719) 264-5010,38.905,-104.821
Colorado,Westminster,6400 W 92Nd Ave,80031-2952,(303) 650-1476,39.862,-105.066
Connecticut,Brookfield,200 Federal Rd,06804-2514,(203) 740-7623,41.442,-73.406
Connecticut,East Lyme,284 Flanders Rd,06333-1710,(860) 691-9647,41.36,-72.214
Connecticut,Enfield,75 Freshwater Blvd,06082-3854,(860) 394-2000,41.993,-72.576
Connecticut,Milford,1718 Boston Post Rd,06460-2718,(203) 882-8881,41.251,-73.025
Connecticut,New Britain,405 Hartford Rd,06053-1507,(860) 893-7001,41.71,-72.763
Connecticut,Norwalk,779 Connecticut Avenue,06854-1615,(203) 822-2003,41.092,-73.452
Connecticut,South Windsor,1220 Tamarack Ave,06074,(860) 474-4031,41.818,-72.556
Connecticut,Waterbury,3600 E Main St,06705-3851,(203) 596-9967,41.54,-72.968
Delaware,Newark,900 Center Blvd,19702-3221,(302) 894-0511,39.677,-75.648
District of Columbia,Washington,2441 Market St Ne,20018-3840,(202) 269-8540,38.921,-76.951
Florida,Altamonte Springs,741 Orange Ave,32714-3031,(407) 786-7802,28.661,-81.418
Florida,Boca Raton,17800 Congress Ave,33487-1200,(561) 981-5004,26.412,-80.101
Florida,Bradenton,805 Lighthouse Drive,34212,(941) 213-0747,27.495,-82.47
Florida,Brandon,10921 Causeway Blvd,33511-1997,(813) 952-0103,27.921,-82.331
Florida,Clearwater,2655 Gulf To Bay Blvd,33759-4936,(727) 373-1951,27.957,-82.728
Florida,Clermont,4600 Collina Terrace,34711,(689) 407-3663,28.548,-81.667
Florida,Coral Springs,4621 Coral Ridge Dr.,33076-2200,(954) 715-8240,26.289,-80.28
Florida,Davie,1890 S University Dr,33324-5808,(954) 370-8990,26.097,-80.248
Florida,Daytona Beach,150 Pit Road,32114,(386) 267-3200,29.191,-81.072
Florida,Jacksonville,4901 Gate Pkwy,32246-4405,(904) 997-7003,30.252,-81.534
Florida,Winter Park,3333 University Blvd,32792-7428,(407) 681-2119,28.599,-81.3
Florida,Fort Myers,10088 Gulf Center Dr,33913-8961,(239) 433-7240,26.49,-81.786
Florida,Fort Myers,7171 Cypress Lake Dr,33907-6521,(239) 415-3806,26.545,-81.874
Florida,Miami,13450 Sw 120Th St,33186-7393,(305) 964-4227,25.654,-80.413
Florida,Lantana,1873 Lantana Rd,33462-2601,(561) 533-0958,26.589,-80.071
Florida,Melbourne,4305 Pineda Causeway,32940,(321) 428-2910,28.189,-80.72
Florida,Miami,7795 West Flagler Street,33144-2359,(786) 482-7135,25.775,-80.322
Florida,Miami Lakes,16580 Nw 59Th Ave,33014-5611,(305) 825-9818,25.923,-80.299
Florida,North Miami,14800 Sole Mia Way,33181,(305) 944-8711,25.912,-80.154
Florida,Naples,6275 Naples Blvd,34109-2030,(239) 596-6404,26.22,-81.775
Florida,North Port,11700 Mezzo Drive,34293-1254,(941) 548-4712,27.04,-82.307
Florida,Orlando,2101 Waterbridge Blvd,32837-9283,(407) 586-7271,28.404,-81.406
Florida,Palm Beach Gardens,3250 Northlake Blvd,33403-1702,(561) 776-3052,26.807,-80.088
Florida,Pembroke Pines,15915 Pines Blvd,33027-1201,(954) 266-3460,26.01,-80.36
Florida,Pompano Beach,1800 W Sample Rd,33064-1324,(954) 968-7114,26.273,-80.149
Florida,Royal Palm Beach,11001 Southern Blvd,33411-4240,(561) 803-8822,26.683,-80.221
Florida,Orlando,4696 Gardens Park Blvd,32839-2171,(407) 586-7221,28.496,-81.425
Florida,Sarasota,8201 S Tamiami Trl Unit 501,34238-2966,(941) 554-2800,27.235,-82.491
Florida,St. Augustine,215 World Commerce Parkway,32092,(904) 687-1299,29.982,-81.463
Florida,Tallahassee,4067 Lagniappe Way,32317-1201,(850) 219-2500,30.461,-84.213
Florida,The Villages,675 Tatonka Terrace,32162,,28.93,-82.022
Florida,Jacksonville,8000 Parramore Rd,32244-5704,(904) 479-7521,30.202,-81.757
Florida,Tampa,8712 W Linebaugh Ave,33625-3713,(813) 616-7001,28.042,-82.58
Florida,Lutz,2225 Grand Cypress Dr,33559-6797,(813) 279-7031,28.189,-82.394
Georgia,Alpharetta,2855 Jordan Ct,30004-3869,(678) 823-4950,34.091,-84.278
Georgia,Athens,5550 Parkway Blvd,30606,(706) 247-8134,33.92,-83.457
Georgia,Augusta,825 Cabela Dr,30909-8202,(706) 739-1700,33.525,-82.02
Georgia,Atlanta,500 Brookhaven Ave Ne,30319-3291,(404) 460-1915,33.873,-84.336
Georgia,Atlanta,2900 Cumberland Mall Se,30339-8107,(770) 431-1700,33.881,-84.471
Georgia,Cumming,1211 Bald Ridge Marina Rd,30041-8484,(470) 239-6610,34.213,-84.116
Georgia,Dallas,1715 Charles Hardy Pkwy,30157,(404) 806-4595,33.921,-84.764
Georgia,Ringgold,100 Cobb Pkwy,30736-8566,(706) 891-2579,34.968,-85.194
Georgia,Duluth,3980 Venture Dr,30096-5077,(770) 622-1330,33.948,-84.143
Georgia,Buford,1550 Mall Of Georgia Blvd,30519-6551,(678) 288-3009,34.062,-83.996
Georgia,Morrow,1700 Mount Zion Rd,30260-3014,(678) 201-0003,33.572,-84.334
Georgia,Atlanta,6350 Peachtree Dunwoody Rd,30328-4568,(770) 352-8660,33.929,-84.354
Georgia,Pooler,200 Mosaic Circle,31322,(912) 348-4569,32.081,-81.277
Georgia,Sharpsburg,40 Fischer Crossings Dr,30277,(678) 621-8594,33.4,-84.622
Georgia,Mcdonough,2245 Jodeco Road,30253,(678) 272-3288,33.481,-84.219
Georgia,Kennesaw,645 Barrett Parkway Nw,30144-4922,(770) 794-1767,34.005,-84.57
Georgia,Woodstock,113 Lincoln St,30188-7800,(770) 694-7193,34.12,-84.516
Hawaii,Honolulu,333 A Keahole Street,96825-3406,(808) 396-5538,21.284,-157.71
Hawaii,Honolulu,525 Alakawa St,96817-5764,(808) 526-6100,21.318,-157.87
Hawaii,Kapolei,4589 Kapolei Pkwy,96707-1879,(808) 674-3900,21.327,-158.088
Hawaii,Lihue,4300 Nuhou St.,96766-8002,(808) 241-4000,21.967,-159.381
Hawaii,Kailua Kona,73-5600 Maiau St,96740-2630,(808) 331-4800,19.685,-156.017
Hawaii,Kahului,540 Haleakala Hwy,96732-2302,(808) 877-5241,20.887,-156.45
Hawaii,Pearl City,98-600 Kamehameha Hwy,96782,(808) 204-2845,21.392,-157.962
Hawaii,Waipahu,94-1231 Ka Uka Blvd,96797-4495,(808) 678-6103,21.427,-158.0
Idaho,Boise,2051 S Cole Rd,83709-2815,(208) 321-8700,43.586,-116.276
Idaho,Coeur D' Alene,355 E Neider Ave,83815-3723,(208) 676-7351,47.709,-116.783
Idaho,Idaho Falls,2495 E. Lincoln Road,83401,(986) 497-3149,43.513,-111.985
Idaho,Meridian,3403 W. Chinden Blvd,83646,(986) 200-4136,43.661,-116.436
Idaho,Nampa,16700 N Market Place Blvd,83687-7909,(208) 465-3800,43.615,-116.59
Idaho,Pocatello,305 W Quinn Rd,83201-4988,(208) 238-4040,42.905,-112.455
Idaho,Twin Falls,731 Pole Line Rd,83301-3036,(208) 736-1550,42.593,-114.464
Illinois,Chicago,7300 S Cicero Ave,60629-5817,(708) 552-9010,41.759,-87.745
Illinois,Bloomingdale,505 W Army Trail Rd,60108-1391,(630) 351-3059,41.941,-88.134
Illinois,Bolingbrook,830 E Boughton Rd,60440-2355,(630) 410-0702,41.728,-88.032
Illinois,Champaign,2002 N. Neil St,61820,(217) 600-6538,40.141,-88.245
Illinois,Chicago,1430 S Ashland Ave,60608-2040,(312) 492-3609,41.863,-87.668
Illinois,East Peoria,301 W Washington St,61611-2036,(309) 427-2930,40.669,-89.585
Illinois,Glenview,2900 Patriot Blvd,60026-8046,(847) 730-1003,42.109,-87.822
Illinois,Lake In The Hills,250 N Randall Rd,60156-5943,(847) 960-9910,42.179,-88.339
Illinois,Lake Zurich,680 S Rand Rd,60047-3409,(847) 540-3050,42.187,-88.093
Illinois,Chicago,2746 N Clybourn Ave,60614-1006,(773) 360-2053,41.93,-87.677
Illinois,Loves Park,5000 Stadium Drive,61111,(779) 513-8397,42.321,-88.961
Illinois,Melrose Park,8400 W North Ave,60160-1607,(708) 397-2905,41.91,-87.836
Illinois,Mettawa,25901 Riverwoods Rd,60045-3403,(847) 235-1302,42.237,-87.903
Illinois,Mount Prospect,999 N Elmhurst Rd,60056-1133,(847) 660-2000,42.083,-87.933
Illinois,Naperville,1255 East Ogden Ave,60563,(331) 215-5612,41.798,-88.124
Illinois,Naperville,1320 S Route 59,60564-5944,(630) 328-2900,41.746,-88.204
Illinois,Niles,7311 N Melvina Ave,60714-3905,(847) 972-3003,42.015,-87.78
Illinois,North Riverside,2500 South Harlem Ave,60546-1415,(708) 853-1017,41.844,-87.806
Illinois,Oak Brook,1901 W 22Nd St,60523-1759,(630) 928-0235,41.845,-87.965
Illinois,Orland Park,9915 W 159Th St,60467-4572,(708) 645-5336,41.6,-87.861
Illinois,Plainfield,16261 S. Boulevard Place,60586,(815) 676-1170,41.587,-88.169
Illinois,Schaumburg,1375 N Meacham Rd,60173-4805,(847) 969-0790,42.055,-88.042
Illinois,Saint Charles,221 S Randall Rd,60174-1524,(630) 549-2024,41.909,-88.342
Indiana,Avon,8816 Dr. Charles Nelson Drive,46123,(317) 286-4742,39.766,-86.365
Indiana,Indianapolis,6110 E 86Th St,46250-3507,(317) 558-1453,39.914,-86.062
Indiana,Evansville,1201 Cross Pointe Pl,47715-9168,(812) 909-6572,37.988,-87.462
Indiana,Fort Wayne,5110 Value Dr,46808-4048,(260) 481-1100,41.126,-85.158
Indiana,Indianapolis,9010 Michigan Rd,46268-3184,(317) 532-1608,39.917,-86.227
Indiana,Merrillville,1310 E 79Th Ave,46410-5768,(219) 641-6400,41.475,-87.322
Indiana,Granger,625 E University Dr,46530-7381,(574) 401-7004,41.719,-86.172
Indiana,Noblesville,14775 North Pointe Blvd,46060,(463) 238-2013,40.004,-86.003
Indiana,Indianapolis,4628 E County Line Rd,46237-9105,(317) 360-7076,39.638,-86.089
Iowa,Ankeny,4000 Ne Spectrum Drive,50021,(515) 686-8709,41.762,-93.567
Iowa,Coralville,2900 Heartland Dr,52241-2740,(319) 545-3200,41.699,-91.616
Iowa,Davenport,2790 E 53Rd St,52807-3007,(563) 893-7004,41.577,-90.534
Iowa,West Des Moines,7205 Mills Civic Pkwy,50266-8140,(515) 222-2920,41.563,-93.805
Kansas,Lenexa,9350 Marshall Dr,66215-3845,(913) 227-3703,38.958,-94.733
Kansas,Overland Park,12221 Blue Valley Pkwy,66213-2640,(913) 217-2050,38.907,-94.671
Kansas,Wichita,9700 E Kellogg,67207-1821,(316) 226-7142,37.68,-97.224
Kentucky,Florence,800 Heights Blvd,41042-1415,(859) 568-7000,38.989,-84.645
Kentucky,Lexington,1500 Fitzgerald Ct,40509-8307,(859) 245-3620,38.025,-84.41
Kentucky,Louisville,3408 Bardstown Rd,40218-4608,(502) 912-9869,38.204,-85.669
Kentucky,Louisville,5020 Norton Healthcare Blvd,40241-2835,(502) 420-0160,38.316,-85.573
Louisiana,Baton Rouge,10000 Dawnadele Ave Bldg A,70809-2591,(225) 295-4600,30.419,-91.074
Louisiana,Covington,4001 Pinnacle Pkwy,70433-6052,(985) 249-2389,30.447,-90.131
